Dataset Title,Dataset Name,Views,Visits,Resource downloads,Period Name
English Indices of Deprivation 2010,index-of-multiple-deprivation,56806,32233,19466,all
Bona Vacantia Unclaimed Estates and Adverts,bona-vacantia-estates-advertisements,50909,29411,27831,all
Lower Layer Super Output Area (LSOA) boundaries,lower_layer_super_output_area_lsoa_boundaries,42719,24799,10720,all
Building Price and Cost Indices,building_price_and_cost_indices,36802,21843,11365,all
Social Trends,social_trends,34808,15363,8847,all
Road Safety Data,road-accidents-safety-data,32901,15787,25101,all
Live traffic information from the Highways Agency,live-traffic-information-from-the-highways-agency-road-network,30157,12412,9010,all
National Public Transport Access Nodes (NaPTAN),naptan,22658,10843,6571,all
"Statistics on Obesity, Physical Activity and Diet, England",statistics_on_obesity_physical_activity_and_diet_england,21674,9278,7846,all
UK Tariff Codes,uk-tariff-codes-2009-2010,21315,13122,6092,all
Health Survey for England,health_survey_for_england,20873,10389,4067,all
Code-Point® Open,code-point-open,20605,7509,3443,all
VAT registered businesses,vat_registered_businesses,20028,13207,2418,all
Regional Household Income,regional_household_income,18895,8045,8552,all
Active Vehicle Testing Stations in Great Britain,mot-active-vts,17628,8526,5622,all
Driving Licence Data,driving-licence-data,16078,8720,4123,all
Find your nearest Authorised Testing Facility (ATF) or DVSA test station,uk-open-access-non-vosa-sites,15750,10627,2711,all
GB Road Traffic Counts,gb-road-traffic-counts,15359,7732,6449,all
Energy Consumption in the UK,energy_consumption_in_the_uk,14976,9207,5011,all
Organogram and staff pay data for Environment Agency,staff-organograms-and-pay-environment-agency,14450,6728,4553,all
Organogram and staff pay data for DEFRA,staff-organograms-and-pay-defra,13224,6172,4126,all
Learning Aim Reference Service,learning-aim-reference-service,12917,6715,5301,all
Average Earnings Index,average_earnings_index,12731,6773,2134,all
CPI and RPI Basket of Goods and Services,cpi_and_rpi_basket_of_goods_and_services,12385,7259,3670,all
Statutory duties placed on local government,statutory-duties-placed-on-local-government,12120,7132,6584,all
Small and medium sized enterprise statistics (SME) for the UK and regions,small_and_medium_sized_enterprise_statistics_sme_for_the_uk_and_regions,11793,7840,2748,all
National Public Transport Data Repository (NPTDR),nptdr,11695,5635,3338,all
Combined Online Information System,coins,11178,6537,1842,all
Infant Feeding Survey - 2010,infant-feeding-survey-2010,10966,5557,7176,all
Boundary-Line™,boundary-line,10602,5478,1002,all
Details of NHS organisations in England from Organisation Data Service,england-nhs-connecting-for-health-organisation-data-service-data-files-of-nhsorganisations,10553,5085,5215,all
Land Registry Price Paid Data,land-registry-monthly-price-paid-data,10514,3757,4382,all
NHS Payment by  Results 2010-11 National Tariff Information,payment-by-results-2010-11-national-tariff-information,10435,6811,1625,all
Planned road works on the HA road network,highways_agency_planned_roadworks,10374,7810,2596,all
"Senior Officials ""high earners"" salaries",uk-civil-service-high-earners,10268,6215,2405,all
Data Files of General Medical Practices from Organisation Data Service,england-nhs-connecting-for-health-organisation-data-service-data-files-of-general-medical-practices,10225,5787,5705,all
General Household Survey,general_household_survey,9934,6244,2460,all
Construction Statistics,construction_statistics,9911,5912,2682,all
Central Government Property and Land including Welsh Ministers estate.,epims,9678,5031,6046,all
Organogram and staff pay data for the Department for Transport,organogram-dft,9469,4944,2511,all
2m Composite LIDAR Digital Terrain Model,2m-composite-lidar-digital-terrain-model,9286,4226,0,all
Population estimates by broad age band,population_estimates_by_broad_age_band,9234,5542,1764,all
English Indices of Deprivation,english_indices_of_deprivation,8809,4575,11,all
Lower Layer SOA (with names) - Standard Table Ward - Local Authority: Lookup Table,lower_layer_soa_with_names_-_standard_table_ward_-_local_authority_-_lookup_table,8726,5009,5338,all
Annual Abstract of Statistics,annual_abstract_of_statistics,8203,4315,2186,all
