Dataset Name,Publisher Name
financial-transactions-data-2gether-nhs-foundation-trust,2gether-nhs-foundation-trust
test51,aberdeen-city-council
organogram-academics,academics
financial-transactions-data-advantage-west-midlands,advantage-west-midlands
financial-transactions-data-advantage_west_midlands_april_2011,advantage-west-midlands
financial-transactions-data-advantage_west_midlands,advantage-west-midlands
financial-transactions-data-advantage_west_midlands_may_2011,advantage-west-midlands
financial-transactions-data-advantage_west_midlands_march_2011,advantage-west-midlands
prompt-payment-statistics-for-december-2012-from-acas,advisory-conciliation-and-arbitration-service
financial-transactions-data-acas,advisory-conciliation-and-arbitration-service
acas-spend-march-over-500,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-september-2011-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-february-2014-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-february-2011-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-january-2014-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-november-2014-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-december-2013-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-september-2013-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-july-2012-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-april-2014-from-acas,advisory-conciliation-and-arbitration-service
staff-organograms-and-pay-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-april-2014-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-december-2013-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-january-2013-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-march-2014-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-may-2013-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-march-2014-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-november-2012-from-acas,advisory-conciliation-and-arbitration-service
prompt-payment-statistics-for-january-2014-from-acas,advisory-conciliation-and-arbitration-service
payments-to-suppliers-over-500-for-april-2013-from-acas,advisory-conciliation-and-arbitration-service
