Publisher Title,Publisher Name,Views,Visits,Period Name
Office for National Statistics,office-for-national-statistics,412701,197777,all
Health and Social Care Information Centre,health-and-social-care-information-centre,218441,105967,all
Department for Communities and Local Government,department-for-communities-and-local-government,215701,113202,all
"Department for Business, Innovation and Skills",department-for-business-innovation-and-skills,108882,62430,all
Department for Transport,department-for-transport,88977,37131,all
Environment Agency,environment-agency,81696,35205,all
"Department for Environment, Food and Rural Affairs",department-for-environment-food-and-rural-affairs,71614,32431,all
Home Office,home-office,66604,27557,all
Ordnance Survey,ordnance-survey,61394,22159,all
Cabinet Office,cabinet-office,60536,30685,all
Department of Health,department-of-health,56863,29307,all
Treasury Solicitor's Department,treasury-solicitors-department,54157,30402,all
British Geological Survey,british-geological-survey,49763,21790,all
"Department for Children, Schools and Families",department-for-children-schools-and-families,46927,24982,all
Transport Direct,transport-direct,45995,20103,all
Ministry of Defence,ministry-of-defence,41518,22865,all
Highways Agency,highways-agency,38892,16570,all
Met Office,met-office,33592,12358,all
Ministry of Justice,ministry-of-justice,32621,16799,all
ISD Scotland,isd-scotland,32591,19242,all
Department for Work and Pensions,department-for-work-and-pensions,31800,18110,all
Scottish Government Spatial Data Infrastructure,scottish-government-spatial-data-infrastructure,31708,12618,all
Her Majesty's Treasury,her-majestys-treasury,30834,14762,all
Welsh Government,welsh-government,29771,14085,all
Department for Education,department-for-education,27837,12472,all
Centre for Ecology & Hydrology,centre-for-ecology-hydrology,23925,9569,all
Scottish Government,scottish-government,23741,13001,all
BusinessLink,businesslink,21993,13286,all
Northern Ireland Spatial Data Infrastructure,northern-ireland-spatial-data-infrastructure,21556,7419,all
Driver & Vehicle Standards Agency,driver-vehicle-standards-agency,20590,9893,all
Skills Funding Agency,skills-funding-agency,19540,6806,all
Department of Energy and Climate Change,department-of-energy-and-climate-change,16839,7530,all
Her Majesty's Revenue and Customs,her-majestys-revenue-and-customs,15360,5842,all
Welsh Government Spatial Data Infrastructure,welsh-government-spatial-data-infrastructure,14342,6395,all
English Heritage,english-heritage,14269,6640,all
Healthcare Quality Improvement Partnership,healthcare-quality-improvement-partnership,13031,4611,all
United Kingdom Hydrographic Office,united-kingdom-hydrographic-office,12543,7049,all
Foreign and Commonwealth Office,foreign-and-commonwealth-office,12050,3996,all
Warwickshire County Council,warwickshire-county-council,11796,5583,all
Bristol City Council,bristol-city-council,11381,4075,all
Barrow Borough Council,barrow-borough-council,11191,1885,all
Natural England,natural-england,10433,5140,all
East Sussex County Council,east-sussex-county-council,8356,4736,all
High Speed 2 Limited,high-speed-2,7863,2632,all
Identity & Passport Service,identity-passport-service,7258,4877,all
Food Standards Agency,food-standards-agency,6957,2005,all
Department for International Development,department-for-international-development,6111,2006,all
NHS Choices,nhs-choices,5410,3485,all
Driver and Vehicle Licensing Agency,driver-and-vehicle-licensing-agency,5377,3140,all
Forestry Commission,forestry-commission,5354,2218,all
Health and Safety Executive,health-and-safety-executive,5350,2855,all
Office of Government Commerce,office-of-government-commerce,5308,3223,all
"Department of Health, Social Services and Public Safety",department-of-health-social-services-and-public-safety,5083,2649,all
Northern Ireland Statistics and Research Agency,northern-ireland-statistics-and-research-agency,5056,2614,all
Sunderland City Council,sunderland-city-council,4630,1708,all
Information Commissioner's Office,information-commissioners-office,4506,2480,all
HM Passport Office,hm-passport-office,4459,1202,all
NHS London,nhs-london,4382,2225,all
Marine Management Organisation,marine-management-organisation,4369,2165,all
Norfolk County Council,norfolk-county-council,4357,1988,all
Crown Prosecution Service,crown-prosecution-service,4327,1652,all
Office for Low Emission Vehicles,office-for-low-emission-vehicles,4170,2027,all
Geoplace,geoplace,4124,970,all
"Department for Culture, Media and Sport",department-for-culture-media-and-sport,4077,1139,all
