,Country,Latitude,Longitude
0,Albania,41.153332,20.168331
1,Algeria,28.033886,1.659626
2,Argentina,-38.416097,-63.61667199999999
3,Australia,-25.274398,133.775136
4,Austria,47.516231,14.550072
5,Bangladesh,23.684994,90.356331
6,Belgium,50.503887,4.469936
7,Brazil,-14.235004,-51.92528
8,Bulgaria,42.733883,25.48583
9,Canada,56.130366,-106.346771
10,Chile,-35.675147,-71.542969
11,China,35.86166,104.195397
12,Colombia,4.570868,-74.297333
13,Croatia,45.1,15.2
14,Cyprus,35.126413,33.429859
15,Czech Republic,49.81749199999999,15.472962
16,Denmark,56.26392,9.501785
17,Egypt,26.820553,30.802498
18,Estonia,58.595272,25.013607
19,Finland,61.92410999999999,25.748151
20,France,46.227638,2.213749
21,Germany,51.165691,10.451526
22,Ghana,7.946527,-1.023194
23,Greece,39.074208,21.824312
24,Guernsey,49.465691,-2.585278
25,Hong Kong,22.396428,114.109497
26,Hungary,47.162494,19.503304
27,India,20.593684,78.96288
28,Indonesia,-0.789275,113.921327
29,Iran,32.427908,53.688046
30,Ireland,53.41291,-8.24389
31,Isle of Man,54.236107,-4.548056
32,Israel,31.046051,34.851612
33,Italy,41.87194,12.56738
34,Jamaica,18.109581,-77.297508
35,Japan,36.204824,138.252924
36,Jersey,49.214439,-2.13125
37,Kenya,-0.023559,37.906193
38,Latvia,56.879635,24.603189
39,Lebanon,33.854721,35.862285
40,Lithuania,55.169438,23.881275
41,Luxembourg,49.815273,6.129582999999999
42,Macedonia [FYROM],41.608635,21.745275
43,Malaysia,4.210484,101.975766
44,Malta,35.937496,14.375416
45,Mexico,23.634501,-102.552784
46,Moldova,47.411631,28.369885
47,Morocco,31.791702,-7.092619999999999
48,Netherlands,52.132633,5.291265999999999
49,New Zealand,-40.900557,174.885971
50,Nigeria,9.081999,8.675277
51,Norway,60.47202399999999,8.468945999999999
52,Pakistan,30.375321,69.34511599999999
53,Peru,-9.189967,-75.015152
54,Philippines,12.879721,121.774017
55,Poland,51.919438,19.145136
56,Portugal,39.39987199999999,-8.224454
57,Qatar,25.354826,51.183884
58,Romania,45.943161,24.96676
59,Russia,61.52401,105.318756
60,Saudi Arabia,23.885942,45.079162
61,Serbia,44.016521,21.005859
62,Singapore,1.352083,103.819836
63,Slovakia,48.669026,19.699024
64,Slovenia,46.151241,14.995463
65,South Africa,-30.559482,22.937506
66,South Korea,35.907757,127.766922
67,Spain,40.46366700000001,-3.74922
68,Sri Lanka,7.873053999999999,80.77179699999999
69,Sweden,60.12816100000001,18.643501
70,Switzerland,46.818188,8.227511999999999
71,Syria,34.80207499999999,38.996815
72,Taiwan,23.69781,120.960515
73,Thailand,15.870032,100.992541
74,Tunisia,33.886917,9.537499
75,Turkey,38.963745,35.243322
76,Ukraine,48.379433,31.16558
77,United Arab Emirates,23.424076,53.847818
78,United Kingdom,55.378051,-3.435973
79,United States,37.09024,-95.712891
80,Uruguay,-32.522779,-55.765835
81,Vietnam,14.058324,108.277199
82,Azerbaijan,40.143105,47.576927
83,Belarus,53.709807,27.953389
84,Bosnia and Herzegovina,43.915886,17.679076
85,Bahrain,26.0667,50.5577
86,Iceland,64.963051,-19.020835
87,Kazakhstan,48.019573,66.923684
88,Kuwait,29.31166,47.481766
89,Ecuador,-1.831239,-78.18340599999999
90,Georgia,32.1656221,-82.9000751
91,Iraq,33.223191,43.679291
92,Jordan,30.585164,36.238414
93,Mongolia,46.862496,103.846656
94,Senegal,14.497401,-14.452362
95,Trinidad and Tobago,10.691803,-61.222503
96,Uganda,1.373333,32.290275
97,Costa Rica,9.748916999999999,-83.753428
98,Ethiopia,9.145000000000001,40.489673
99,Nepal,28.394857,84.12400799999999
100,Oman,21.512583,55.923255
101,Palestinian Territories,31.952162,35.233154
102,Macau,22.198745,113.543873
103,Maldives,1.977247,73.5361034
104,Mauritius,-20.348404,57.55215200000001
105,Brunei,4.535277,114.727669
106,Gibraltar,36.140751,-5.353585
107,Barbados,13.193887,-59.543198
108,Tanzania,-6.369028,34.888822
109,Venezuela,6.42375,-66.58973
110,Zambia,-13.133897,27.849332
111,El Salvador,13.794185,-88.89653
112,Bermuda,32.3078,-64.7505
113,Dominican Republic,18.735693,-70.162651
114,Libya,26.3351,17.228331
115,Rwanda,-1.940278,29.873888
116,Puerto Rico,18.220833,-66.590149
117,Zimbabwe,-19.015438,29.154857
118,Cambodia,12.565679,104.990963
119,Kosovo,42.6026359,20.902977
120,Uzbekistan,41.377491,64.585262
121,Afghanistan,33.93911,67.709953
122,Haiti,18.971187,-72.285215
123,Palestine,31.952162,35.233154
124,Panama,8.537981,-80.782127
125,Armenia,40.069099,45.038189
126,Macedonia (FYROM),41.608635,21.745275
127,Paraguay,-23.442503,-58.443832
128,Angola,-11.202692,17.873887
129,Benin,9.30769,2.315834
130,Montenegro,42.708678,19.37439
131,Bolivia,-16.290154,-63.58865299999999
132,Cayman Islands,19.3133,-81.2546
133,Cameroon,7.369721999999999,12.354722
134,Madagascar,-18.766947,46.869107
135,Guatemala,15.783471,-90.23075899999999
136,Swaziland,-26.522503,31.465866
